FrameNumber,Kanji,Keyword,LastReview,ExpireDate,LeitnerBox,FailCount,PassCount
120,"硝","nitrate",2017-05-29 13:29:44,2017-08-04,6,4,23
121,"砕","smash",2017-05-31 13:07:17,2017-06-17,4,13,33
122,"砂","sand",2017-02-28 20:23:48,2017-07-05,7,4,20
123,"妬","jealous",2017-06-01 07:10:26,2017-07-24,6,12,33
124,"削","plane",2017-03-14 09:30:34,2017-11-24,8,3,19
125,"光","ray",2017-04-28 11:40:07,2017-08-30,7,4,18
126,"太","plump",2016-11-21 14:05:57,2017-07-15,8,1,14
127,"器","utensil",2017-03-14 10:27:53,2017-07-24,7,3,24
128,"臭","stinking",2017-06-03 17:17:20,2017-06-18,4,14,41
129,"嗅","sniff",2017-06-07 22:53:24,2017-06-20,4,19,44
130,"妙","exquisite",2017-04-27 07:09:16,2017-09-09,7,3,21
131,"省","focus",2017-06-03 17:17:20,2017-06-17,4,8,33
132,"厚","thick",2017-04-18 17:35:56,2017-08-28,7,4,28
133,"奇","strange",2017-04-18 17:49:22,2017-08-15,7,1,15
134,"川","stream",2017-04-19 16:21:30,2017-08-19,7,2,19
135,"州","state",2017-04-18 17:38:04,2017-08-05,7,3,20
136,"順","obey",2017-04-03 10:22:20,2017-08-12,7,4,28
137,"水","water",2016-11-23 07:46:46,2017-07-07,8,0,9
138,"氷","icicle",2017-04-03 10:06:44,2017-12-17,8,2,15
139,"永","eternity",2017-04-26 07:41:52,2017-08-24,7,2,19
140,"泉","spring",2017-06-02 11:22:45,2017-06-11,3,11,39
141,"腺","gland",2017-05-15 14:44:12,2017-07-20,6,5,20
142,"原","meadow",2017-04-03 10:42:53,2017-08-13,7,10,42
143,"願","petition",2017-06-05 21:07:12,2017-07-06,5,13,40
144,"泳","swim",2017-04-09 10:59:41,2017-12-23,8,1,10
145,"沼","marsh",2017-03-14 10:07:12,2017-11-11,8,3,19
146,"沖","open sea",2017-03-14 09:49:57,2017-10-16,8,2,15
147,"汎","pan-",2017-02-19 12:07:03,2017-06-13,7,7,24
148,"江","creek",2017-05-15 14:22:31,2017-06-09,5,3,9
149,"汰","cleanse(selection)",2017-04-03 10:06:44,2017-06-11,6,5,13
150,"汁","soup",2016-11-22 17:15:37,2017-08-01,8,0,9
151,"沙","grains of sand",2017-05-30 07:26:20,2017-06-10,4,10,27
152,"潮","tide",2017-03-01 10:44:11,2017-06-28,7,6,23
153,"源","source",2017-03-20 11:15:46,2017-07-27,7,5,23
154,"活","lively",2017-06-03 06:18:49,2017-06-14,4,3,17
155,"消","extinguish",2017-05-30 08:01:04,2017-07-03,5,9,30
156,"況","but of course",2017-03-14 10:27:53,2017-06-28,7,3,19
157,"河","river",2017-05-29 12:47:27,2017-10-09,7,4,15
158,"泊","overnight",2017-05-30 12:49:10,2017-06-15,4,10,34
159,"湖","lake",2017-04-18 17:46:21,2017-08-21,7,2,19
160,"測","fathom",2017-04-26 07:41:52,2017-09-06,7,2,16
161,"土","soil",2016-12-13 08:40:12,2017-12-29,8,0,9
162,"吐","spit",2017-03-19 11:33:18,2017-11-28,8,1,9
163,"圧","pressure",2017-05-30 08:17:41,2017-07-24,6,12,40
164,"埼","cape",2017-05-30 12:42:01,2017-06-28,5,7,26
165,"垣","hedge",2017-03-14 10:34:36,2017-07-16,7,6,31
166,"填","inlay(fill in)",2017-06-05 18:40:00,2017-06-11,3,18,38
167,"圭","squared jewel",2017-06-05 21:36:36,2017-06-21,4,7,25
168,"封","seal",2017-06-07 23:50:11,2017-06-22,4,13,28
169,"涯","horizon",2017-06-02 11:22:43,2017-06-13,4,6,28
170,"寺","Buddhist temple",2017-06-04 11:14:25,2017-11-24,7,4,21
171,"時","time",2017-06-01 07:16:13,2018-01-10,8,3,16
172,"均","level",2017-04-03 10:06:44,2017-12-16,8,4,20
173,"火","fire",2016-11-30 06:01:21,2017-11-05,8,0,9
174,"炎","inflammation",2017-04-03 09:55:25,2017-12-02,8,2,13
175,"煩","anxiety",2017-06-03 17:17:30,2017-06-15,4,12,37
176,"淡","thin",2017-04-09 11:07:22,2017-08-11,7,2,19
177,"灯","lamp",2017-05-15 14:28:25,2017-06-12,5,4,9
178,"畑","farm",2017-03-28 08:34:35,2017-07-12,7,2,18
179,"災","disaster",2017-05-30 08:01:04,2017-06-26,5,5,24
180,"灰","ashes",2017-03-14 09:56:29,2017-07-24,7,5,28
181,"点","spot",2017-05-04 15:10:13,2017-09-13,7,3,20
